1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;;;;;;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard;;min;max;avg;dp
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p;;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;;;;;;;;;;;;;;;;;;;;;
37;NPathComplexity ;0.112688875;0.996666667;0.172805024;0.976666667;0.412648524;0.17;0.452964956;0.076666667;0.036682468;0.01;0.150381516;0.7;0.122288443;0.893333333;0.392753241;0.043333333;0.229191316;0.393333333;0.261362999;0.076666667;;;;;;;;;°;*;;;;;;*;;;;;°;;**;••;°°;••°°;;;;;0.452964956;0.036682468;;;0.392753241;;0.261362999;;0.036682468;0.452964956;0.285940916;0.184426815
38;ExcessiveMethodLength ;0.084279354;0.933333333;0.198279853;0.95;0.199762673;0.723333333;0.452964956;0.076666667;0.183702889;0;0.219874898;0.506666667;0.150243465;0.966666667;0.392753241;0.043333333;0.271068718;0.233333333;0.062290427;1;;;;;;;;;°;*;;;;;;*;;;;;;;**;••;°;••°;;;;;0.452964956;0.183702889;;;0.392753241;;;;0.183702889;0.452964956;0.343140362;0.141320888
39;ExcessiveClassLength ;0.177193024;0.54;0.28542529;0.813333333;0;1;0.409438905;0.13;0.0686611;0.01;0.171517434;0.706666667;0.106823118;0.983333333;0.306806623;0.16;0.229191316;0.403333333;0.112787482;0.066666667;;;;;;;;;;*;;;;;;;;;;;°;;*;•;°;•°;;;;;;0.0686611;;;;;0.112787482;;0.0686611;0.112787482;0.090724291;0.031202063
40;ExcessiveParameterList ;0.075863271;0.986666667;0.062974252;1;0.124301839;0.93;0.32786144;0.46;0.227162608;0.003333333;0;0;0.241134643;0.563333333;0.11931875;0.7;0.247863273;0.4;0.16245427;0.566666667;;;;;;;;;;*;;;;;;;;;;;;;*;•;;•;;;;;;0.227162608;;;;;;;0.227162608;0.227162608;0.227162608;#DIV/0!
41;ExcessivePublicCount ;0.140702302;0.866666667;0.209805645;0.913333333;0.212167431;0.74;0.413335997;0.183333333;0.152183941;0.003333333;0.24983685;0.44;0.124252512;0.983333333;0.134210624;0.39;0.311542986;0.26;0;0;;;;;;;;;;*;;;;;;;;;;;;;*;•;;•;;;;;;0.152183941;;;;;;;0.152183941;0.152183941;0.152183941;#DIV/0!
42;TooManyFields ;0.13333721;0.893333333;0.263357002;0.8;0;0;0.215312953;0.906666667;0.238522065;0;0.174563909;0.786666667;0.266651573;0.43;0.41653631;0.01;0.311542986;0.26;0.156102094;0.006666667;;;;;;;;;;*;;;;;;*;;;;*;;;***;•••;;•••;;;;;;0.238522065;;;0.41653631;;0.156102094;;0.156102094;0.41653631;0.270386823;0.133109043
43;TooManyMethods ;0.265072069;0.373333333;0.285635879;0.676666667;0.212167431;0.74;0.412593835;0.186666667;0.116302022;0.003333333;0.267805126;0.226666667;0.237066778;0.536666667;0.41653631;0.01;0.271068718;0.25;0.204344457;0.64;;;;;;;;;;*;;;;;;*;;;;;;;**;••;;••;;;;;;0.116302022;;;0.41653631;;;;0.116302022;0.41653631;0.266419166;0.212297701
44;TooManyPublicMethods ;0.165668849;0.513333333;0.18296594;0.963333333;0.199762673;0.723333333;0.246606814;0.8;0.106180251;0;0.13462379;0.883333333;0.106953366;0.956666667;0.41653631;0.006666667;0.205612384;0.433333333;0.149691887;0.593333333;;;;;;;;;;*;;;;;;*;;;;;;;**;••;;••;;;;;;0.106180251;;;0.41653631;;;;0.106180251;0.41653631;0.26135828;0.219454874
45;ExcessiveClassComplexity ;0.173967102;0.663333333;0.173269997;0.976666667;0;1;0.396622069;0.186666667;0.172990386;0;0.205648821;0.413333333;0.189620217;0.7;0.341763382;0.04;0.205612384;0.433333333;0.111856201;0.913333333;;;;;;;;;;*;;;;;;*;;;;;;;**;••;;••;;;;;;0.172990386;;;0.341763382;;;;0.172990386;0.341763382;0.257376884;0.11934053
46;NumberOfChildren ;0.196283221;0.693333333;0.495506389;0.026666667;0;0;0.335792814;0.246666667;0.176754508;0;0.27227325;0.183333333;0.169803788;0.653333333;0;0;0.229191316;0.37;0.123607057;0.906666667;;;;*;;;;;;*;;;;;;;;;;;;;**;••;;••;;;0.495506389;;;0.176754508;;;;;;;0.176754508;0.495506389;0.336130448;0.225391616
47;DepthOfInheritance ;0;0;0;0;0;0;0;0;0.169219898;0;0;0;0;0;0;0;0;0.65;0;0;;;;;;;;;;*;;;;;;;;;;;;;*;•;;•;;;;;;0.169219898;;;;;;;0.169219898;0.169219898;0.169219898;#DIV/0!
48;CouplingBetweenObjects ;0.175744197;0.903333333;0.292473268;0.283333333;0;0;0.27454932;0.523333333;0.144586564;0.003333333;0.121824639;0.77;0.226970122;0.376666667;0.41653631;0.006666667;0.311542986;0.293333333;0.074627432;0.996666667;;;;;;;;;;*;;;;;;*;;;;;;;**;••;;••;;;;;;0.144586564;;;0.41653631;;;;0.144586564;0.41653631;0.280561437;0.19229751
49;DevelopmentCodeFragment ;0.090564073;0.99;0.460216706;0.143333333;0.197806309;0.86;0.452964956;0.076666667;0.259782813;0.003333333;0.127116524;0.87;0.207517168;0.52;0.134210624;0.39;0.233913152;0.33;0;0;;;;;;;;;°;*;;;;;;;;;;;;;*;•;°;•°;;;;;0.452964956;0.259782813;;;;;;;0.259782813;0.452964956;0.356373885;0.136600403
50;UnusedPrivateField ;0.171638009;0.886666667;0;0;0.293225396;0.376666667;0;0;0.170855145;0;0.223612307;0.196666667;0.229196828;0.473333333;1.60E-15;0.99;0.378667891;0.063333333;0;0;;;;;;;;;;*;;;;;;;;;°;;;;*;•;°;•°;;;;;;0.170855145;;;;0.378667891;;;0.170855145;0.378667891;0.274761518;0.146945802
51;UnusedLocalVariable ;0.207069708;0.396666667;0.176886639;0.92;0.338921949;0.34;0.411193951;0.19;0.243961117;0;0.119315426;0.93;0.175120838;0.62;0.341763382;0.04;0.229191316;0.37;0.149014175;0.72;;;;;;;;;;*;;;;;;*;;;;;;;**;••;;••;;;;;;0.243961117;;;0.341763382;;;;0.243961117;0.341763382;0.29286225;0.069156645
52;UnusedPrivateMethod ;0.185535252;0.483333333;0;0;0.305395615;0.246666667;0.243029538;0.046666667;0.252832911;0;0.076726347;0.92;0.160185148;0.786666667;0.11931875;0.7;0.390056838;0.106666667;0.096497093;0.153333333;;;;;;;;*;;*;;;;;;;;;;;;;**;••;;••;;;;;0.243029538;0.252832911;;;;;;;0.243029538;0.252832911;0.247931224;0.006932032
53;UnusedFormalParameter ;0.194655979;0.693333333;0.322373127;0.573333333;0.338921949;0.3;0.437560184;0.173333333;0.1642134;0.003333333;0.177739215;0.513333333;0.2283633;0.753333333;0.134210624;0.39;0.250543838;0.336666667;0.137189447;0.853333333;;;;;;;;;;*;;;;;;;;;;;;;*;•;;•;;;;;;0.1642134;;;;;;;0.1642134;0.1642134;0.1642134;#DIV/0!
54;embed.JS ;0.159202795;0.96;0.220495765;0.82;0.369128649;0.063333333;0.49147403;0.086666667;0.152183941;0.003333333;0.265741394;0.443333333;0.219267477;0.196666667;0.182594365;0.833333333;0.291598415;0.103333333;0.174463782;0.31;;;;;;;°;;°;*;;;;;;;;;;;;;*;•;°°;•°°;;;;0.369128649;0.49147403;0.152183941;;;;;;;0.152183941;0.49147403;0.33759554;0.171828967
55;inline.JS ;0.255563874;0.303333333;0.351489982;0.523333333;0.317977926;0.156666667;0.21813409;0.8;0.181369492;0;0.157441608;0.626666667;0.169303753;0.65;0.376860277;0.096666667;0.291598415;0.103333333;0;0;;;;;;;;;;*;;;;;;;°;;;;;;*;•;°;•°;;;;;;0.181369492;;;0.376860277;;;;0.181369492;0.376860277;0.279114884;0.13823286
