1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;107;;;;
45;ExcessiveClassComplexity ;0.04728421; ;0.138605218; ;0.429293478; *;0.196824902; ;0.156135359; *;0.102768822; ;0.026012971; ;0.247147616; ;0.549357553; *;0.064302891; ;;;;;;;;
46;NumberOfChildren ;0.036616507; ;0; ;0; ;0.168823826; ;0.15622026; *;0.074820775; ;0.11666793; ;0; ;0.564054021; *;0.155852341; *;;;;;;;;
47;DepthOfInheritance ;0; ;0; ;0; ;0; ;0.032504269; ;0; ;0; ;0; ;0; ;0; ;;;;;;;;
48;CouplingBetweenObjects ;0.063040937; ;0; ;0; ;0.110186331; ;0.091889271; ;0.163297375; ;0.129897735; ;0.168124167; ;0.308878735; ;0.146475756; *;;;;;;;;
49;DevelopmentCodeFragment ;0.025562816; ;0.116512481; ;0.452079108; *;0.191830734; ;0.130096051; ;0.162331151; ;0.123040705; ;0; ;0.455850895; ;0; ;;;;;;;;
50;UnusedPrivateField ;0.054309675; ;0; ;0.305042005; ;0; ;0.059637835; ;0.07475804; ;0.163517471; *;0; ;0.175695619; ;0; ;;;;;;;;
51;UnusedLocalVariable ;0.051635491; ;0.278899679; ;0.293938506; ;0.192702542; ;0.137676097; ;0.284881052; *;0.041832671; ;0.247147616; ;0.279870042; ;0.066841399; ;;;;;;;;
52;UnusedPrivateMethod ;0.008472785; ;0; ;0.332162963; ;0; ;0.129879843; ;0.067160674; ;0.113997992; ;0; ;0.136389411; ;0; ;;;;;;;;
53;UnusedFormalParameter ;0.04183371; ;0.202793029; ;0.252136707; ;0.350418974; *;0.078414959; ;0.116785451; ;0.122226525; ;0.165661349; ;0.12252771; ;0.177670366; *;;;;;;;;
54;embed.JS ;0.088244862; *;0.125273151; ;0.087951416; ;0.162442525; ;0.016137887; ;0.179185237; ;0.031301577; ;0.135456725; ;0.137859152; ;0.106474197; ;;;;;;;;
55;inline.JS ;0.032120621; ;0.177143121; ;0.391821159; *;0.358170756; *;0.040196191; ;0.151168163; ;0.147638658; ;0.232976304; ;0.137859152; ;0; ;;;;;;;;
56;embed.CSS ;0.040490227; ;0; ;0.216346378; ;0.3840422; *;0.11104703; ;0.145789311; ;0.067704367; ;0.135456725; ;0.288428509; ;0.046087296; ;;;;;;;;
57;inline.CSS ;0.077566645; ;0.176218816; ;0.391821159; ;0.049546863; ;0.035999063; ;0.070477817; ;0.049558043; ;0.335174893; *;0.267456153; ;0.064349833; ;;;;;;;;
58;css.in.JS ;0.059993838; ;0.134703045; ;0.360913093; ;0.188229601; ;0.076266543; ;0.153242041; ;0.113997992; ;0.096370594; ;0.330482635; ;0.113583996; *;;;;;;;;
59;css.in.JS..jquery ;0.027900007; ;0.097638947; ;0.342945827; ;0.107233152; ;0.093890555; ;0.074820775; ;0.07055206; ;0.15812589; ;0.526573192; *;0.199806115; *;;;;;;;;
60;max.lines ;0.026799245; ;0.119951516; ;0.50096778; *;0.339424467; *;0.094778578; ;0.189433443; *;0.035311348; ;0.209867558; ;0.390976576; ;0.090450418; ;;;;;;;;
61;max.lines.per.function ;0.043186129; ;0.036741023; ;0.212292343; ;0.277984562; *;0.01381232; ;0.082585009; ;0.083463624; ;0.130867437; ;0.358437301; ;0.120987662; *;;;;;;;;
62;max.params ;0.058584291; ;0.036741023; ;0.412117315; *;0.140226916; ;0.040053781; ;0.084911645; ;0.078992729; ;0.106811094; ;0.181397925; ;0.087119497; ;;;;;;;;
63;complexity ;0.029328349; ;0.036741023; ;0.443094645; *;0.21251373; ;0.032113435; ;0.159142219; ;0.06892535; ;0.285416125; *;0.476697764; *;0.076548435; ;;;;;;;;
64;max.depth ;0.054496805; ;0.064493148; ;0.286333118; ;0; ;0.055688199; ;0.070011199; ;0.053778106; ;0.323105964; *;0.315639461; ;0.076548435; ;;;;;;;;
65;max.nested.callbacks ;0.018551617; ;0; ;0.155173154; ;0.088997557; ;0.040053781; ;0.118305955; ;0.150425534; *;0.11549011; ;0.387773712; ;0.042740537; ;;;;;;;;
