1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;phppgadmin;phppgadmin sig _;mediawiki;mediawiki sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;48;;;;
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig;;;;;;;;
44;TooManyPublicMethods ;0.05445879; ;0.170673351; ;0.458005938; ;0.160873319; ;0.291670896; ;0.147878795; ;0.231565076; ;0.24517313; ;0.159685548; ;0.35079831; *;0.414095859; ;0.123675445; ;;;;;;;;
45;ExcessiveClassComplexity ;0.125155304; ;0.361542021; ;0.19231173; ;0.139852492; ;0.483539456; ;0.085466748; ;0.152842937; ;0.156004683; ;0.14494767; ;0.269451354; ;0.434242875; ;0.211248536; ;;;;;;;;
46;NumberOfChildren ;0.064533218; ;0; ;0; ;0.170464836; ;0; ;0.097948032; ;0.182715406; ;0.2138901; ;0.107006696; ;0; ;0.42088348; ;0.168896935; ;;;;;;;;
47;DepthOfInheritance ;0; ;0; ;0; ;0; ;0.329047438; ;0; ;0.130776306; ;0; ;0; ;0; ;0; ;0; ;;;;;;;;
48;CouplingBetweenObjects ;0.098736355; ;0; ;0; ;0.144636482; ;0; ;0.050780801; ;0.141103396; ;0.179469868; ;0.124545938; ;0.35079831; *;0.25373475; ;0.236735675; ;;;;;;;;
49;DevelopmentCodeFragment ;0.074861449; ;0.171991858; ;0.352358422; ;0.157590717; ;0; ;0.109028404; ;0.172084693; ;0.115849829; ;0.123191489; ;0; ;0.544152468; ;0; ;;;;;;;;
50;UnusedPrivateField ;0.091865146; ;0; ;0.30025328; ;0; ;0; ;0.088120819; ;0.100376078; ;0.176974375; ;0.178582579; ;0; ;0.181787296; ;0; ;;;;;;;;
51;UnusedLocalVariable ;0.103609903; ;0.245360978; ;0.474337199; ;0.189540895; ;0.60950299; ;0.120035837; ;0.104693974; ;0.242021221; ;0.274608332; ;0.269451354; ;0.246307022; ;0.174862528; ;;;;;;;;
52;UnusedPrivateMethod ;0.073727766; ;0; ;0.289489455; ;0; ;0; ;0.048763045; ;0.154492827; ;0.136945414; ;0.133565023; ;0; ;0.229220929; ;0; ;;;;;;;;
53;UnusedFormalParameter ;0.133056422; ;0.159244756; ;0.371444333; ;0.15209128; ;0.248498191; ;0.173832815; ;0.337023506; *;0.123508671; ;0.203955825; ;0.137750813; ;0.277598998; ;0.203448786; ;;;;;;;;
54;embed.JS ;0.146748278; ;0.161202111; ;0.310612591; ;0.187102013; ;0.493817486; ;0.153328091; ;0.294505904; ;0.276097826; ;0.124220933; ;0.35536565; ;0.500707055; ;0.159485933; ;;;;;;;;
55;inline.JS ;0.130766171; ;0.187253322; ;0.201097122; ;0.147318044; ;0.397193903; ;0.147159945; ;0.270056878; ;0.096725727; ;0.218405147; ;0.391430176; *;0.391231373; ;0; ;;;;;;;;
56;embed.CSS ;0.073620265; ;0.183166252; ;0.425565831; ;0.112320516; ;0; ;0.091433631; ;0.197555966; ;0.089255621; ;0.096333251; ;0.189447549; ;0.500707055; ;0.080937109; ;;;;;;;;
57;inline.CSS ;0.101204427; ;0.263389194; ;0.289489455; ;0.198808087; ;0.455314766; ;0.116356562; ;0.181569807; ;0.142073705; ;0.116465015; ;0.391430176; *;0.568075619; ;0.108439301; ;;;;;;;;
58;css.in.JS ;0.064421103; ;0.461235303; *;0.405758994; ;0.058266336; ;0.190647524; ;0.122693346; ;0.256827655; ;0.210690299; ;0.188929729; ;0.09788913; ;0.516070982; ;0.231452231; ;;;;;;;;
59;css.in.JS..jquery ;0.064360458; ;0.087992989; ;0.278743935; ;0.187046476; ;0; ;0.060768782; ;0.140581308; ;0.174065509; ;0.083630238; ;0.189447549; ;0.328403267; ;0.138411779; ;;;;;;;;
60;max.lines ;0.09390892; ;0.137860273; ;0.2808227; ;0.091443636; ;0.425831432; ;0.105667328; ;0.21066746; ;0.136396001; ;0.165781484; ;0.35576512; ;0.383065875; ;0.101955086; ;;;;;;;;
61;max.lines.per.function ;0.12906209; ;0.112281204; ;0.457376991; ;0.176219266; ;0.415473433; ;0.080179061; ;0.327708867; *;0.256344639; ;0.188314569; ;0.075973616; ;0.488412561; ;0.097803359; ;;;;;;;;
62;max.params ;0.074685038; ;0.171882299; ;0.28550799; ;0.079412664; ;0.526888797; ;0.1376836; ;0.172546103; ;0.14487847; ;0.092858108; ;0.204968696; ;0.290801759; ;0.193919069; ;;;;;;;;
63;complexity ;0.108391158; ;0.171882299; ;0.302567915; ;0.190776601; ;0.34991401; ;0.116581546; ;0.15974708; ;0.162737332; ;0.105592356; ;0.372171084; *;0.48881971; ;0.153872464; ;;;;;;;;
64;max.depth ;0.064780612; ;0.182808144; ;0.369478186; ;0; ;0; ;0.08463172; ;0.190775559; ;0.166698184; ;0.067334477; ;0.152562824; ;0.326330336; ;0.153872464; ;;;;;;;;
65;max.nested.callbacks ;0.051747664; ;0; ;0.459553976; ;0.193522602; ;0; ;0.0865792; ;0.198470416; ;0.229567629; ;0.080307676; ;0.093078849; ;0.270415432; ;0.120642373; ;;;;;;;;
